test_script	chatsidebar_method	entry_count	first_observed_source_line_def
test_wire_code_ui_batch	_start_load_pulse	5	2620
test_wire_code_ui_batch	_apply_health	4	2476
test_wire_code_ui_batch	_stop_load_pulse	4	2634
test_wire_code_ui_batch	_begin_model_load	2	2685
test_wire_code_ui_batch	_composer_hint_should_show	2	1355
test_wire_code_ui_batch	_hide_load_overlay	2	2642
test_wire_code_ui_batch	_on_load_status	2	2746
test_wire_code_ui_batch	_on_model_load_finished	2	2780
test_wire_code_ui_batch	_rebuild_history_list	2	1637
test_wire_code_ui_batch	_show_load_overlay	2	2585
test_wire_code_ui_batch	__init__	1	496
test_wire_code_ui_batch	_apply_restored_transcript	1	2160
test_wire_code_ui_batch	_build_history_sidebar	1	1007
test_wire_code_ui_batch	_build_load_overlay	1	1179
test_wire_code_ui_batch	_build_ui	1	610
test_wire_code_ui_batch	_ensure_conversation	1	2075
test_wire_code_ui_batch	_hook_composer_surface_layout	1	1239
test_wire_code_ui_batch	_install_css	1	601
test_wire_code_ui_batch	_make_chat_actions_popover	1	1741
test_wire_code_ui_batch	_mark_history_dirty	1	1156
test_wire_code_ui_batch	_on_load_chunk	1	2774
test_wire_code_ui_batch	_on_model_selected	1	2392
test_wire_code_ui_batch	_on_ollama_probe	1	2428
test_wire_code_ui_batch	_on_web_intent	1	2048
test_wire_code_ui_batch	_preferred_model	1	2547
test_wire_code_ui_batch	_refresh_models	1	2411
test_wire_code_ui_batch	_restore_history	1	2098
test_wire_code_ui_batch	_select_model_name	1	2012
test_wire_code_ui_batch	_show_ephemeral_greeting	1	2849
test_wire_code_ui_batch	_sync_composer_hint	1	1363
test_wire_code_ui_batch	_update_load_progress	1	2653
test_wire_code_ui_batch	switch_conversation	1	1944
